"duration";"amount";"gender";"client_age";"status";"account_id";"cluster"
12.0;96396.0;1.0;45.0;-1.0;1787.0;"cluster_1"
36.0;165960.0;0.0;24.0;1.0;1801.0;"cluster_2"
60.0;127080.0;0.0;57.0;1.0;9188.0;"cluster_3"
36.0;105804.0;1.0;53.0;1.0;1843.0;"cluster_1"
60.0;274740.0;0.0;14.0;1.0;11013.0;"cluster_0"
24.0;87840.0;1.0;13.0;1.0;8261.0;"cluster_1"
12.0;52788.0;0.0;20.0;1.0;11265.0;"cluster_2"
24.0;174744.0;1.0;45.0;-1.0;5428.0;"cluster_1"
48.0;154416.0;1.0;24.0;1.0;10973.0;"cluster_1"
24.0;117024.0;0.0;58.0;1.0;4894.0;"cluster_3"
36.0;21924.0;0.0;33.0;1.0;10364.0;"cluster_2"
24.0;79608.0;0.0;23.0;1.0;5270.0;"cluster_2"
60.0;464520.0;1.0;52.0;-1.0;6034.0;"cluster_0"
36.0;95400.0;0.0;22.0;1.0;6701.0;"cluster_2"
36.0;93888.0;1.0;43.0;1.0;2705.0;"cluster_1"
12.0;47016.0;1.0;35.0;1.0;7123.0;"cluster_1"
60.0;259740.0;0.0;14.0;1.0;10320.0;"cluster_0"
12.0;38148.0;1.0;28.0;1.0;9034.0;"cluster_1"
12.0;86616.0;0.0;32.0;1.0;9236.0;"cluster_2"
24.0;75624.0;0.0;35.0;-1.0;10266.0;"cluster_2"
24.0;80952.0;0.0;48.0;1.0;2.0;"cluster_3"
24.0;80952.0;0.0;48.0;1.0;7401.0;"cluster_3"
12.0;24516.0;0.0;35.0;1.0;2486.0;"cluster_2"
60.0;253200.0;1.0;43.0;1.0;1071.0;"cluster_0"
24.0;21072.0;1.0;29.0;1.0;8475.0;"cluster_1"
36.0;108144.0;1.0;30.0;1.0;11111.0;"cluster_1"
12.0;78936.0;1.0;37.0;1.0;1603.0;"cluster_1"
48.0;149040.0;1.0;25.0;1.0;1166.0;"cluster_1"
12.0;49320.0;1.0;48.0;-1.0;8073.0;"cluster_1"
36.0;197748.0;1.0;23.0;1.0;10940.0;"cluster_1"
60.0;300660.0;0.0;44.0;1.0;5313.0;"cluster_0"
36.0;182628.0;0.0;34.0;1.0;11135.0;"cluster_2"
12.0;91632.0;1.0;31.0;1.0;2694.0;"cluster_1"
24.0;51696.0;1.0;26.0;1.0;7753.0;"cluster_1"
24.0;55368.0;1.0;54.0;1.0;7445.0;"cluster_1"
24.0;91200.0;1.0;38.0;1.0;7485.0;"cluster_1"
24.0;7656.0;1.0;31.0;1.0;8330.0;"cluster_1"
36.0;212400.0;1.0;27.0;1.0;6555.0;"cluster_1"
60.0;167100.0;1.0;24.0;1.0;10079.0;"cluster_0"
60.0;149340.0;0.0;31.0;1.0;5385.0;"cluster_2"
12.0;65184.0;0.0;36.0;1.0;5891.0;"cluster_2"
36.0;215388.0;0.0;34.0;-1.0;10131.0;"cluster_2"
60.0;89040.0;1.0;24.0;1.0;8321.0;"cluster_1"
36.0;193968.0;0.0;21.0;1.0;5256.0;"cluster_2"
12.0;24312.0;1.0;38.0;1.0;813.0;"cluster_1"
60.0;272520.0;0.0;54.0;1.0;2933.0;"cluster_3"
12.0;80340.0;1.0;18.0;1.0;8173.0;"cluster_1"
12.0;97632.0;1.0;25.0;1.0;9833.0;"cluster_1"
48.0;196080.0;0.0;35.0;1.0;7769.0;"cluster_2"
12.0;76908.0;1.0;48.0;-1.0;6473.0;"cluster_1"
48.0;63312.0;1.0;38.0;1.0;7454.0;"cluster_1"
24.0;25944.0;1.0;34.0;1.0;6930.0;"cluster_1"
12.0;104808.0;0.0;54.0;1.0;173.0;"cluster_3"
48.0;208320.0;1.0;26.0;1.0;8051.0;"cluster_0"
24.0;151560.0;0.0;41.0;1.0;10439.0;"cluster_3"
24.0;52128.0;1.0;34.0;1.0;9337.0;"cluster_1"
36.0;300204.0;0.0;30.0;1.0;4576.0;"cluster_0"
12.0;77640.0;0.0;26.0;1.0;8027.0;"cluster_2"
48.0;87216.0;0.0;30.0;-1.0;5927.0;"cluster_2"
24.0;87360.0;0.0;31.0;1.0;6273.0;"cluster_2"
48.0;69360.0;0.0;52.0;1.0;11065.0;"cluster_3"
60.0;288360.0;0.0;58.0;1.0;8558.0;"cluster_3"
24.0;174744.0;1.0;15.0;-1.0;5442.0;"cluster_1"
60.0;239460.0;1.0;51.0;1.0;1811.0;"cluster_0"
24.0;91584.0;1.0;42.0;1.0;7844.0;"cluster_1"
60.0;244560.0;1.0;26.0;1.0;4260.0;"cluster_0"
12.0;4980.0;1.0;41.0;1.0;3354.0;"cluster_1"
24.0;111384.0;0.0;27.0;1.0;2762.0;"cluster_2"
36.0;276660.0;0.0;45.0;-1.0;6051.0;"cluster_3"
12.0;39576.0;1.0;14.0;1.0;9265.0;"cluster_1"
24.0;173808.0;1.0;37.0;1.0;5228.0;"cluster_1"
60.0;50460.0;1.0;46.0;1.0;2824.0;"cluster_1"
60.0;252060.0;1.0;28.0;-1.0;426.0;"cluster_0"
24.0;143904.0;0.0;43.0;1.0;4937.0;"cluster_3"
48.0;208128.0;0.0;42.0;-1.0;790.0;"cluster_3"
36.0;131292.0;0.0;40.0;1.0;10911.0;"cluster_3"
36.0;74736.0;0.0;28.0;1.0;8129.0;"cluster_2"
36.0;299088.0;1.0;27.0;-1.0;2176.0;"cluster_0"
60.0;189300.0;0.0;40.0;1.0;9093.0;"cluster_3"
12.0;14628.0;1.0;45.0;1.0;5215.0;"cluster_1"
36.0;120888.0;1.0;50.0;1.0;9403.0;"cluster_1"
48.0;172080.0;1.0;37.0;1.0;9104.0;"cluster_1"
48.0;323472.0;1.0;53.0;1.0;5120.0;"cluster_0"
12.0;74688.0;1.0;49.0;1.0;8519.0;"cluster_1"
12.0;45768.0;1.0;17.0;1.0;10788.0;"cluster_1"
36.0;224604.0;0.0;18.0;1.0;8260.0;"cluster_2"
24.0;79632.0;1.0;35.0;1.0;4259.0;"cluster_1"
24.0;121896.0;0.0;29.0;1.0;10105.0;"cluster_2"
12.0;82896.0;0.0;22.0;1.0;3050.0;"cluster_2"
12.0;23628.0;0.0;40.0;1.0;3674.0;"cluster_2"
48.0;209184.0;0.0;41.0;1.0;5481.0;"cluster_3"
12.0;41904.0;0.0;20.0;1.0;9307.0;"cluster_2"
12.0;87816.0;0.0;33.0;1.0;4427.0;"cluster_2"
12.0;23052.0;1.0;53.0;1.0;3834.0;"cluster_1"
24.0;189696.0;1.0;24.0;-1.0;7824.0;"cluster_1"
36.0;230220.0;1.0;51.0;-1.0;8566.0;"cluster_1"
12.0;71460.0;0.0;49.0;1.0;7965.0;"cluster_3"
24.0;141240.0;0.0;32.0;1.0;5952.0;"cluster_2"
24.0;11736.0;0.0;56.0;1.0;6040.0;"cluster_3"
36.0;192744.0;1.0;23.0;1.0;4448.0;"cluster_1"
36.0;227880.0;1.0;38.0;1.0;8982.0;"cluster_1"
12.0;17508.0;0.0;48.0;1.0;6363.0;"cluster_3"
24.0;98184.0;1.0;49.0;1.0;1012.0;"cluster_1"
24.0;170256.0;1.0;29.0;1.0;2167.0;"cluster_1"
12.0;83016.0;0.0;15.0;1.0;5622.0;"cluster_2"
48.0;61056.0;1.0;37.0;1.0;5991.0;"cluster_1"
48.0;123696.0;0.0;54.0;1.0;290.0;"cluster_3"
24.0;59760.0;0.0;35.0;1.0;6148.0;"cluster_2"
36.0;48672.0;1.0;46.0;1.0;7133.0;"cluster_1"
36.0;140400.0;0.0;53.0;1.0;8041.0;"cluster_3"
24.0;192552.0;1.0;30.0;-1.0;1106.0;"cluster_1"
36.0;164052.0;1.0;19.0;-1.0;1527.0;"cluster_1"
36.0;205200.0;1.0;31.0;1.0;1978.0;"cluster_1"
24.0;51408.0;0.0;45.0;1.0;4337.0;"cluster_3"
60.0;199680.0;0.0;45.0;1.0;2345.0;"cluster_3"
60.0;482940.0;1.0;18.0;-1.0;10451.0;"cluster_0"
12.0;36684.0;1.0;16.0;1.0;6425.0;"cluster_1"
60.0;398640.0;1.0;34.0;1.0;6226.0;"cluster_0"
60.0;100980.0;0.0;29.0;1.0;344.0;"cluster_2"
12.0;31248.0;1.0;55.0;1.0;2962.0;"cluster_1"
36.0;115992.0;0.0;57.0;1.0;10738.0;"cluster_3"
12.0;76380.0;1.0;37.0;1.0;3747.0;"cluster_1"
36.0;288468.0;1.0;36.0;1.0;7523.0;"cluster_0"
48.0;177744.0;0.0;22.0;-1.0;3166.0;"cluster_2"
36.0;270648.0;0.0;57.0;-1.0;6118.0;"cluster_3"
24.0;48624.0;0.0;33.0;1.0;816.0;"cluster_2"
24.0;76416.0;0.0;57.0;1.0;9640.0;"cluster_3"
60.0;137880.0;0.0;31.0;-1.0;6715.0;"cluster_2"
48.0;347952.0;1.0;30.0;1.0;2245.0;"cluster_0"
12.0;68112.0;1.0;17.0;1.0;7857.0;"cluster_1"
12.0;95808.0;0.0;54.0;1.0;2419.0;"cluster_3"
48.0;20832.0;0.0;46.0;1.0;7819.0;"cluster_3"
60.0;316140.0;0.0;26.0;-1.0;3678.0;"cluster_0"
12.0;43164.0;1.0;19.0;1.0;6472.0;"cluster_1"
48.0;221280.0;0.0;26.0;1.0;4413.0;"cluster_2"
48.0;151728.0;0.0;18.0;-1.0;9750.0;"cluster_2"
60.0;79920.0;0.0;41.0;1.0;6353.0;"cluster_3"
60.0;538500.0;0.0;34.0;1.0;817.0;"cluster_0"
24.0;97224.0;1.0;43.0;1.0;4414.0;"cluster_1"
24.0;28248.0;1.0;25.0;1.0;6030.0;"cluster_1"
24.0;168984.0;0.0;18.0;-1.0;11021.0;"cluster_2"
24.0;76680.0;0.0;46.0;1.0;8564.0;"cluster_3"
60.0;331560.0;0.0;14.0;1.0;9869.0;"cluster_0"
60.0;103680.0;0.0;23.0;-1.0;5700.0;"cluster_2"
48.0;99696.0;1.0;23.0;-1.0;1247.0;"cluster_1"
24.0;134784.0;1.0;54.0;1.0;8316.0;"cluster_1"
12.0;15420.0;1.0;29.0;1.0;3064.0;"cluster_1"
24.0;31728.0;0.0;44.0;1.0;7607.0;"cluster_3"
48.0;185952.0;0.0;50.0;1.0;2228.0;"cluster_3"
36.0;156672.0;1.0;38.0;1.0;2361.0;"cluster_1"
12.0;18564.0;1.0;32.0;1.0;3752.0;"cluster_1"
48.0;158976.0;0.0;56.0;1.0;4079.0;"cluster_3"
24.0;47304.0;0.0;23.0;1.0;8625.0;"cluster_2"
24.0;104712.0;0.0;50.0;1.0;9591.0;"cluster_3"
24.0;126600.0;0.0;56.0;1.0;9828.0;"cluster_3"
12.0;68400.0;1.0;18.0;-1.0;1993.0;"cluster_1"
60.0;225420.0;1.0;46.0;1.0;5628.0;"cluster_0"
36.0;248148.0;1.0;54.0;1.0;1762.0;"cluster_1"
24.0;187224.0;0.0;47.0;-1.0;347.0;"cluster_3"
12.0;36396.0;0.0;23.0;1.0;9472.0;"cluster_2"
60.0;189060.0;1.0;36.0;1.0;960.0;"cluster_0"
36.0;71064.0;1.0;48.0;1.0;1256.0;"cluster_1"
48.0;87216.0;1.0;41.0;1.0;854.0;"cluster_1"
60.0;158760.0;0.0;17.0;1.0;3629.0;"cluster_2"
60.0;417060.0;1.0;33.0;1.0;8377.0;"cluster_0"
60.0;63360.0;0.0;39.0;1.0;7190.0;"cluster_3"
24.0;29784.0;1.0;25.0;1.0;8159.0;"cluster_1"
24.0;139536.0;1.0;53.0;1.0;9656.0;"cluster_1"
36.0;265320.0;1.0;46.0;1.0;8489.0;"cluster_0"
24.0;198240.0;0.0;39.0;1.0;10630.0;"cluster_3"
60.0;60000.0;0.0;48.0;1.0;10440.0;"cluster_3"
48.0;465072.0;0.0;47.0;1.0;4774.0;"cluster_0"
24.0;98592.0;1.0;31.0;1.0;5650.0;"cluster_1"
60.0;285600.0;1.0;14.0;1.0;5632.0;"cluster_0"
24.0;44088.0;1.0;44.0;1.0;3489.0;"cluster_1"
12.0;20220.0;1.0;22.0;1.0;4580.0;"cluster_1"
24.0;107640.0;1.0;35.0;1.0;4727.0;"cluster_1"
12.0;21396.0;0.0;26.0;1.0;4825.0;"cluster_2"
48.0;33984.0;0.0;23.0;1.0;8776.0;"cluster_2"
24.0;45336.0;0.0;38.0;1.0;1375.0;"cluster_2"
60.0;85860.0;1.0;39.0;1.0;8492.0;"cluster_1"
48.0;188688.0;1.0;30.0;1.0;9493.0;"cluster_0"
48.0;309552.0;0.0;60.0;1.0;915.0;"cluster_3"
12.0;36168.0;0.0;34.0;1.0;9897.0;"cluster_2"
60.0;314520.0;1.0;39.0;1.0;10942.0;"cluster_0"
36.0;21852.0;0.0;40.0;1.0;7861.0;"cluster_3"
60.0;266220.0;1.0;30.0;1.0;8405.0;"cluster_0"
36.0;231696.0;0.0;22.0;1.0;10093.0;"cluster_2"
36.0;260028.0;0.0;18.0;1.0;10663.0;"cluster_2"
60.0;419880.0;1.0;49.0;1.0;11349.0;"cluster_0"
12.0;37908.0;1.0;19.0;1.0;6738.0;"cluster_1"
36.0;73836.0;1.0;28.0;1.0;4423.0;"cluster_1"
12.0;41952.0;0.0;22.0;1.0;7546.0;"cluster_2"
24.0;99336.0;1.0;15.0;1.0;2343.0;"cluster_1"
36.0;60156.0;0.0;19.0;-1.0;6609.0;"cluster_2"
60.0;182040.0;1.0;44.0;1.0;2218.0;"cluster_0"
48.0;244368.0;0.0;25.0;1.0;9627.0;"cluster_2"
36.0;113796.0;0.0;24.0;1.0;9731.0;"cluster_2"
48.0;73056.0;0.0;24.0;1.0;789.0;"cluster_2"
24.0;137904.0;0.0;27.0;-1.0;4081.0;"cluster_2"
24.0;31176.0;0.0;27.0;1.0;5774.0;"cluster_2"
36.0;217152.0;0.0;21.0;1.0;11042.0;"cluster_2"
48.0;194880.0;0.0;15.0;1.0;6924.0;"cluster_2"
12.0;27984.0;0.0;46.0;1.0;7765.0;"cluster_3"
24.0;92976.0;1.0;25.0;1.0;2227.0;"cluster_1"
24.0;104712.0;1.0;25.0;1.0;9583.0;"cluster_1"
60.0;191880.0;0.0;46.0;1.0;7606.0;"cluster_3"
48.0;232560.0;1.0;25.0;1.0;5742.0;"cluster_0"
60.0;204000.0;0.0;51.0;1.0;1011.0;"cluster_3"
60.0;125340.0;0.0;51.0;1.0;8899.0;"cluster_3"
48.0;309600.0;0.0;20.0;1.0;7562.0;"cluster_0"
24.0;189696.0;0.0;50.0;1.0;7815.0;"cluster_3"
48.0;135360.0;0.0;20.0;1.0;4503.0;"cluster_2"
48.0;98832.0;1.0;25.0;1.0;4907.0;"cluster_1"
48.0;20352.0;1.0;47.0;1.0;5126.0;"cluster_1"
60.0;165120.0;1.0;45.0;1.0;2496.0;"cluster_0"
24.0;89880.0;0.0;32.0;1.0;11138.0;"cluster_2"
36.0;128988.0;0.0;56.0;-1.0;4995.0;"cluster_3"
12.0;63252.0;1.0;46.0;1.0;3804.0;"cluster_1"
24.0;61656.0;1.0;42.0;-1.0;5066.0;"cluster_1"
24.0;72408.0;1.0;37.0;-1.0;6400.0;"cluster_1"
36.0;113544.0;0.0;53.0;1.0;10884.0;"cluster_3"
60.0;56100.0;0.0;37.0;1.0;8092.0;"cluster_3"
60.0;290700.0;1.0;36.0;-1.0;5735.0;"cluster_0"
48.0;123216.0;1.0;18.0;1.0;3112.0;"cluster_1"
60.0;380160.0;0.0;46.0;1.0;2912.0;"cluster_0"
36.0;213300.0;0.0;31.0;1.0;4852.0;"cluster_2"
48.0;247728.0;0.0;16.0;1.0;8327.0;"cluster_2"
36.0;202788.0;1.0;42.0;1.0;1772.0;"cluster_1"
48.0;154656.0;0.0;39.0;1.0;10728.0;"cluster_3"
48.0;100224.0;1.0;39.0;-1.0;9017.0;"cluster_1"
12.0;44628.0;0.0;52.0;1.0;5574.0;"cluster_3"
48.0;215616.0;0.0;39.0;-1.0;808.0;"cluster_3"
48.0;200976.0;0.0;41.0;1.0;2456.0;"cluster_3"
36.0;277884.0;1.0;15.0;-1.0;3037.0;"cluster_0"
48.0;249312.0;0.0;40.0;1.0;1967.0;"cluster_3"
48.0;320976.0;0.0;59.0;-1.0;5213.0;"cluster_3"
12.0;30276.0;1.0;57.0;-1.0;7418.0;"cluster_1"
60.0;49440.0;1.0;29.0;1.0;2352.0;"cluster_1"
12.0;30276.0;1.0;57.0;-1.0;19.0;"cluster_1"
24.0;165960.0;1.0;51.0;1.0;67.0;"cluster_1"
60.0;123600.0;0.0;28.0;1.0;5794.0;"cluster_2"
60.0;220620.0;1.0;52.0;1.0;8411.0;"cluster_0"
24.0;66480.0;0.0;60.0;-1.0;4462.0;"cluster_3"
48.0;320592.0;1.0;25.0;1.0;7614.0;"cluster_0"
36.0;161496.0;0.0;24.0;1.0;3608.0;"cluster_2"
60.0;284280.0;1.0;37.0;1.0;940.0;"cluster_0"
36.0;173016.0;1.0;51.0;1.0;8547.0;"cluster_1"
60.0;368880.0;0.0;21.0;1.0;5422.0;"cluster_0"
36.0;176148.0;1.0;32.0;1.0;9645.0;"cluster_1"
48.0;186384.0;0.0;37.0;1.0;9006.0;"cluster_3"
48.0;360000.0;1.0;23.0;1.0;2572.0;"cluster_0"
60.0;30060.0;0.0;44.0;1.0;1766.0;"cluster_3"
24.0;46320.0;0.0;17.0;1.0;2322.0;"cluster_2"
36.0;141948.0;1.0;45.0;1.0;1698.0;"cluster_1"
36.0;19044.0;1.0;22.0;1.0;10001.0;"cluster_1"
36.0;85716.0;0.0;58.0;1.0;8680.0;"cluster_3"
24.0;155880.0;1.0;27.0;1.0;8127.0;"cluster_1"
48.0;32640.0;0.0;53.0;1.0;5541.0;"cluster_3"
36.0;20196.0;0.0;25.0;1.0;2268.0;"cluster_2"
48.0;444864.0;0.0;32.0;1.0;3679.0;"cluster_0"
12.0;11400.0;1.0;16.0;1.0;5033.0;"cluster_1"
36.0;96768.0;1.0;28.0;1.0;6985.0;"cluster_1"
48.0;133968.0;0.0;53.0;1.0;9790.0;"cluster_3"
24.0;187104.0;1.0;19.0;1.0;846.0;"cluster_1"
36.0;162468.0;1.0;38.0;1.0;1886.0;"cluster_1"
60.0;89340.0;1.0;24.0;1.0;2580.0;"cluster_1"
60.0;89340.0;1.0;24.0;1.0;9928.0;"cluster_1"
36.0;258444.0;0.0;30.0;1.0;4994.0;"cluster_2"
24.0;155640.0;1.0;53.0;1.0;7184.0;"cluster_1"
48.0;270384.0;0.0;34.0;1.0;6358.0;"cluster_0"
12.0;54024.0;0.0;28.0;1.0;11359.0;"cluster_2"
12.0;44376.0;0.0;34.0;1.0;5593.0;"cluster_2"
48.0;85632.0;1.0;47.0;1.0;6289.0;"cluster_1"
60.0;148920.0;0.0;19.0;1.0;11054.0;"cluster_2"
24.0;91152.0;0.0;53.0;1.0;544.0;"cluster_3"
24.0;141648.0;0.0;44.0;1.0;4851.0;"cluster_3"
48.0;388512.0;1.0;27.0;-1.0;1583.0;"cluster_0"
60.0;402000.0;0.0;16.0;1.0;4650.0;"cluster_0"
36.0;253512.0;1.0;51.0;-1.0;3084.0;"cluster_1"
36.0;71460.0;1.0;16.0;1.0;2143.0;"cluster_1"
12.0;29448.0;0.0;48.0;-1.0;9199.0;"cluster_3"
36.0;48744.0;1.0;32.0;1.0;2994.0;"cluster_1"
60.0;181020.0;1.0;30.0;1.0;6397.0;"cluster_0"
36.0;68832.0;0.0;37.0;1.0;10762.0;"cluster_2"
36.0;74124.0;1.0;57.0;1.0;7136.0;"cluster_1"
48.0;174048.0;1.0;44.0;1.0;8533.0;"cluster_1"
24.0;84120.0;1.0;46.0;1.0;7926.0;"cluster_1"
36.0;194940.0;0.0;31.0;1.0;10019.0;"cluster_2"
24.0;15192.0;1.0;23.0;1.0;4476.0;"cluster_1"
12.0;96168.0;1.0;24.0;1.0;9814.0;"cluster_1"
36.0;139464.0;0.0;38.0;-1.0;2236.0;"cluster_3"
36.0;54396.0;0.0;57.0;1.0;10436.0;"cluster_3"
60.0;392460.0;1.0;15.0;1.0;11186.0;"cluster_0"
12.0;101520.0;1.0;19.0;1.0;2106.0;"cluster_1"
36.0;77184.0;1.0;41.0;1.0;3230.0;"cluster_1"
48.0;70656.0;0.0;44.0;1.0;9024.0;"cluster_3"
48.0;64656.0;0.0;49.0;1.0;4585.0;"cluster_3"
60.0;396120.0;1.0;46.0;1.0;1862.0;"cluster_0"
24.0;93600.0;0.0;24.0;1.0;8039.0;"cluster_2"
36.0;22968.0;1.0;46.0;1.0;6688.0;"cluster_1"
60.0;262980.0;1.0;30.0;1.0;501.0;"cluster_0"
60.0;372120.0;0.0;51.0;1.0;7795.0;"cluster_0"
12.0;86184.0;1.0;55.0;1.0;9422.0;"cluster_1"
12.0;86184.0;1.0;55.0;1.0;2062.0;"cluster_1"
36.0;192744.0;0.0;32.0;1.0;4447.0;"cluster_2"
24.0;68544.0;0.0;20.0;1.0;3754.0;"cluster_2"
12.0;88440.0;1.0;51.0;1.0;132.0;"cluster_1"
24.0;110112.0;0.0;33.0;1.0;5001.0;"cluster_2"
24.0;110136.0;1.0;38.0;1.0;6434.0;"cluster_1"
60.0;276300.0;0.0;20.0;1.0;5263.0;"cluster_0"
60.0;359760.0;0.0;17.0;1.0;4948.0;"cluster_0"
60.0;321180.0;0.0;60.0;1.0;3115.0;"cluster_3"
48.0;46176.0;0.0;30.0;1.0;9548.0;"cluster_2"
48.0;421008.0;0.0;43.0;1.0;10297.0;"cluster_0"
12.0;72120.0;1.0;44.0;1.0;7859.0;"cluster_1"
36.0;228276.0;0.0;35.0;1.0;9510.0;"cluster_2"
48.0;182640.0;1.0;54.0;1.0;1250.0;"cluster_1"
12.0;61560.0;0.0;53.0;1.0;2153.0;"cluster_3"
48.0;179328.0;0.0;23.0;1.0;4981.0;"cluster_2"
48.0;155616.0;1.0;37.0;1.0;3021.0;"cluster_1"
60.0;417600.0;0.0;26.0;1.0;10520.0;"cluster_0"
24.0;123408.0;0.0;32.0;1.0;10411.0;"cluster_2"
48.0;155616.0;1.0;25.0;1.0;9030.0;"cluster_1"
60.0;222180.0;0.0;57.0;-1.0;3189.0;"cluster_3"
48.0;45024.0;1.0;39.0;1.0;8972.0;"cluster_1"
36.0;115812.0;0.0;43.0;1.0;10963.0;"cluster_3"
24.0;129408.0;1.0;34.0;1.0;11362.0;"cluster_1"
